"time"	"cell.id"	"cell.type"	"PM"	"Z"	"gI"	"IFN_nM"	"TGF_nM"
38	118	1	15326.75731	9150.813813	0	0.01321680934	0.1228492543
38	119	1	14722.65642	7281.542804	0	0.02768067664	0.1066194088
38	120	1	60040.80549	9060.092238	0	0.09009770082	0.09613712389
38	121	1	18434.94743	6079.606429	0	0.04084314062	0.08687643614
38	122	1	19244.57698	5700.334478	0	0.03780301909	0.07594052237
38	123	1	13386.99154	5220.878881	0	0.02475903342	0.06763907647
38	124	1	13191.5304	5005.406289	0	0.01140661435	0.06296860902
38	125	1	13067.48089	4864.968735	0	0.004709106128	0.05825275909
38	126	1	12982.10152	4771.850495	0	0.001691819433	0.05545314033
38	127	1	12947.87406	4734.991277	0	0.00077904599	0.05338865826
38	132	1	59613.86956	8286.860741	0	0.1143885994	0.07840868579
38	133	1	57698.45628	7098.306574	0	0.08589474046	0.07270797539
38	134	1	13351.29677	5143.156834	0	0.02457823122	0.06526837182
38	135	1	13137.5857	4943.283377	0	0.007433503737	0.05977127556
38	136	1	13020.22269	4812.905474	0	0.002239721822	0.05659073459
38	137	1	12957.81879	4745.637619	0	0.0007020957826	0.05461075989
38	142	1	61718.97829	10200.31628	0	0.1304359343	0.08617352628
38	143	1	58607.40337	7594.189536	0	0.1367950693	0.07723648702
38	144	1	42889.89023	6673.754537	0	0.04236626743	0.06981756997
38	145	1	13209.90353	5026.371992	0	0.01282910685	0.06294088764
38	146	1	13065.1958	4862.758093	0	0.003692302595	0.05833728977
38	147	1	12986.83478	4777.077415	0	0.001118449457	0.05568948936
38	148	1	12949.21185	4736.508006	0	0.00042207726	0.05387695803
38	150	1	15062.42961	8313.901733	0	0.01310590694	0.1189620945
38	152	1	14806.09097	6182.750819	0	0.03443491533	0.08996948177
38	153	1	19201.43904	5837.852269	0	0.04111008541	0.07952034766
38	154	1	13688.92388	5391.148617	0	0.02809680999	0.07277054371
38	155	1	13292.73055	5123.043942	0	0.01200499906	0.06515586082
38	156	1	13126.61062	4930.669279	0	0.004300706331	0.0604803632
38	157	1	13015.79099	4808.510634	0	0.001169000136	0.05708503968
38	158	1	12954.7435	4742.246121	0	0.0003574107482	0.05454633409
38	160	1	15632.27157	10419.81878	0	0.003761586617	0.1255237812
38	161	1	14636.67346	7241.22006	0	0.009810732632	0.1067358958
38	162	1	14223.90834	6448.198376	0	0.01199189058	0.09469076737
38	163	1	13862.9573	5875.277253	0	0.009705017458	0.08361258091
38	164	1	13585.25923	5488.074786	0	0.009912122285	0.07496257819
38	165	1	13360.40922	5204.317239	0	0.007215653409	0.06790442296
38	166	1	13194.57239	5008.579874	0	0.003350370295	0.06224900303
38	167	1	13066.98784	4864.890033	0	0.00116478058	0.05823928179
38	168	1	12982.78717	4772.761655	0	0.0003627114784	0.05539344833
38	169	1	12947.52039	4734.917343	0	0.0001684510103	0.05383756848
38	171	1	14960.56175	8024.776611	0	0.002008307406	0.116364002
38	172	1	14450.35724	6863.21054	0	0.002997333885	0.1003675986
38	173	1	14053.41665	6163.602032	0	0.003155884666	0.0895560184
38	174	1	13732.82481	5687.628667	0	0.002847449355	0.07869006551
38	175	1	13484.69418	5357.059701	0	0.002739156085	0.07190416594
38	176	1	13272.23746	5097.797639	0	0.001610276529	0.06528939652
38	177	1	13126.06673	4929.949468	0	0.0008064312044	0.0602345348
38	178	1	13018.21699	4811.040946	0	0.0002990536292	0.056187895
38	179	1	12955.82479	4743.861794	0	0.0001039432366	0.05410095717
38	181	1	15342.46914	9221.520983	0	0.0005888079998	0.1240741989
38	182	1	14671.79804	7317.654366	0	0.0007757490454	0.1089743909
