"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
184289	5574.25	18853	57.3802	360.698	360698	289.293	4775.86	4457.47	53489.6	0.0597031	0.09
182639	5386.58	19060.2	56.0297	366.299	366299	288.707	4731.74	4416.29	52995.5	0.0601194	0.09
201751	245991	4300.68	589.368	85.258	85258	197.62	7289.27	6803.31	81639.8	0.0409141	0.09
187151	330606	3137.76	643.276	77.3529	77352.9	183.288	7542.08	7039.28	84471.3	0.0395159	0.09
210414	88405.8	8961.28	412.422	124.639	124639	252.772	6603.04	6162.83	73954	0.0451223	0.09
188706	42678.6	12440.3	284.305	174.046	174046	283.566	6113.17	5705.62	68467.5	0.048528	0.09
189126	313706	3328	632.354	78.6116	78611.6	185.599	7495.5	6995.8	83949.7	0.0397677	0.09
169753	4279.25	20668.9	47.9728	403.606	403606	284.001	4410.04	4116.04	49392.5	0.0632419	0.09
196478	270129	3911.02	604.869	82.5527	82552.7	192.777	7366.43	6875.33	82504	0.0404791	0.09
186567	36804.8	13095.1	259.347	187.469	187469	287.507	6004.5	5604.2	67250.4	0.0493319	0.09
205144	75860.2	9693.27	384.802	132.835	132835	260.321	6506.88	6073.09	72877.1	0.0457633	0.09
215335	647991	1466.12	902.736	67.0195	67019.5	164.846	8127.95	7586.08	91033	0.0365595	0.09
217627	113481	7788.47	457.931	113.022	113022	239.843	6756.89	6306.43	75677.2	0.0441237	0.09
189959	45497.8	12145.7	295.216	168.559	168559	281.558	6159.63	5748.99	68987.9	0.0481898	0.09
194015	53686.6	11362.6	323.76	155.415	155415	275.584	6277.07	5858.6	70303.2	0.0473492	0.09
199957	65173.8	10426.5	357.755	141.987	141987	267.397	6408.47	5981.24	71774.8	0.046433	0.09
207223	607879	1572.09	866.12	67.62	67620	165.835	8075.71	7537.33	90447.9	0.0368079	0.09
200959	573044	1677.2	834.757	68.2261	68226.1	166.854	8026.89	7491.77	89901.2	0.0370426	0.09
194355	280992	3752.06	611.704	81.4657	81465.7	190.809	7399.83	6906.5	82878.1	0.0402931	0.09
205406	76432.7	9657.11	386.151	132.409	132409	259.959	6511.67	6077.55	72930.7	0.0457311	0.09
194158	282053	3737.04	612.37	81.3635	81363.5	190.623	7403.04	6909.51	82914.1	0.0402752	0.09
189822	493923	1979.23	765.97	70.0165	70016.5	169.956	7900.66	7373.95	88487.4	0.0376613	0.09
222529	680281	1390.21	932.461	66.5964	66596.4	164.164	8167.43	7622.93	91475.2	0.0363737	0.09
194173	528939	1832.77	795.899	69.1399	69139.9	168.423	7959.49	7428.85	89146.2	0.0373709	0.09
192571	50863.2	11620.8	314.395	159.534	159534	277.65	6239.24	5823.29	69879.5	0.0476178	0.09
206098	77967.1	9561.6	389.721	131.297	131297	258.997	6524.28	6089.33	73072	0.0456463	0.09
197825	61020.2	10745.3	346.142	146.316	146316	270.3	6364.61	5940.3	71283.6	0.0467361	0.09
206456	603823	1583.65	862.445	67.6862	67686.2	165.946	8070.2	7532.19	90386.3	0.0368342	0.09
211574	629959	1511.99	886.223	67.2781	67278.1	165.269	8104.94	7564.61	90775.3	0.0366685	0.09
217419	657620	1442.7	911.582	66.8883	66888.3	164.633	8139.94	7597.27	91167.3	0.0365029	0.09
220531	671570	1409.96	924.427	66.7059	66705.9	164.339	8156.98	7613.18	91358.1	0.0364227	0.09
222708	681053	1388.48	933.174	66.5868	66586.8	164.148	8168.35	7623.79	91485.5	0.0363694	0.09
170814	4353.71	20535.4	48.5242	400.912	400912	284.394	4435.29	4139.6	49675.2	0.0629914	0.09
172590	4483.57	20312.8	49.4809	396.264	396264	285.049	4477.99	4179.46	50153.5	0.0625699	0.09
192376	50477.2	11657.1	313.078	160.128	160128	277.932	6233.86	5818.27	69819.3	0.0476561	0.09
177731	4903.47	19671.8	52.5424	381.758	381758	286.935	4605.01	4298.01	51576.1	0.0613315	0.09
213123	197527	5260.22	554.284	92.1889	92188.9	209.557	7121.02	6646.29	79755.5	0.0418885	0.09
212476	634367	1500.53	890.253	67.2132	67213.2	165.163	8110.63	7569.92	90839.1	0.0366415	0.09
200530	66305.8	10343.2	360.803	140.892	140892	266.62	6419.81	5991.82	71901.9	0.0463551	0.09
191695	49113.4	11787	308.351	162.292	162292	278.93	6214.45	5800.16	69601.9	0.0477948	0.09
193068	520753	1864.98	788.819	69.3314	69331.4	168.756	7946.19	7416.44	88997.3	0.0374362	0.09
208975	215619	4871.32	568.322	89.3306	89330.6	204.727	7186.09	6707.01	80484.2	0.0415074	0.09
199902	65064.3	10434.7	357.458	142.095	142095	267.473	6407.36	5980.2	71762.4	0.0464407	0.09
221922	677657	1396.1	930.04	66.629	66629	164.216	8164.29	7620.01	91440.1	0.0363884	0.09
215010	102396	8268	439.177	117.577	117577	245.24	6693.68	6247.43	74969.2	0.04453	0.09
202245	580553	1653.37	841.474	68.0878	68087.8	166.62	8037.72	7501.87	90022.4	0.0369903	0.09
180141	5128.53	19371.9	54.1699	374.377	374377	287.81	4666.5	4355.4	52264.8	0.0607404	0.09
181438	5258.99	19210.3	55.1107	370.24	370240	288.277	4700.16	4386.82	52641.8	0.0604192	0.09
202405	70083.5	10075.2	370.646	137.471	137471	264.073	6455.99	6025.59	72307	0.0461079	0.09
187425	469666	2095.62	745.84	70.7232	70723.2	171.208	7856.73	7332.95	87995.4	0.0378808	0.09
207929	220004	4782.87	571.525	88.6901	88690.1	203.626	7201.43	6721.33	80656	0.0414183	0.09
179817	5096.97	19412.3	53.9421	375.394	375394	287.693	4658.14	4347.6	52171.2	0.0608204	0.09
214829	101746	8297.86	438.015	117.869	117869	245.571	6689.77	6243.78	74925.4	0.0445553	0.09
187578	326570	3181.56	640.644	77.6415	77641.5	183.818	7531.13	7029.06	84348.7	0.0395748	0.09
199947	566979	1696.98	829.349	68.3412	68341.2	167.05	8018.02	7483.48	89801.8	0.0370855	0.09
210208	623180	1529.96	880.036	67.38	67380	165.437	8096.1	7556.36	90676.3	0.0367106	0.09
207793	610855	1563.72	868.821	67.5722	67572.2	165.756	8079.72	7541.07	90492.9	0.0367887	0.09
209725	620754	1536.49	877.825	67.4171	67417.1	165.499	8092.9	7553.38	90640.5	0.0367258	0.09
188521	481440	2037.44	755.542	70.3688	70368.8	170.579	7878.4	7353.18	88238.1	0.0377723	0.09
204374	592550	1616.67	852.259	67.8759	67875.9	166.263	8054.66	7517.68	90212.2	0.0369088	0.09
209424	213724	4910.22	566.917	89.6133	89613.3	205.211	7179.41	6700.78	80409.4	0.0415463	0.09
183889	5527.33	18903.4	57.0426	362.076	362076	289.151	4765.08	4447.41	53368.9	0.0598046	0.09
172856	4503.61	20279.5	49.628	395.553	395553	285.147	4484.43	4185.47	50225.7	0.0625065	0.09
194319	281186	3749.31	611.826	81.447	81447	190.775	7400.41	6907.05	82884.6	0.0402898	0.09
219736	156140	6322.29	514.969	100.401	100401	222.578	6958.71	6494.8	77937.6	0.042863	0.09
255100	802398	1155.52	1045.38	65.3319	65331.9	162.216	8302.11	7748.64	92983.6	0.0357517	0.09
210226	87911.4	8987.93	411.405	124.923	124923	253.054	6599.55	6159.58	73915	0.0451453	0.09
227122	699648	1348	950.354	66.3639	66363.9	163.794	8190.18	7644.16	91730	0.0362673	0.09
193069	288083	3653.4	616.155	80.7957	80795.7	189.591	7421.19	6926.44	83117.3	0.0401748	0.09
193061	520696	1865.21	788.771	69.3328	69332.8	168.758	7946.09	7416.35	88996.3	0.0374367	0.09
221273	674830	1402.51	927.433	66.6645	66664.5	164.273	8160.9	7616.84	91402.1	0.0364043	0.09
193462	52612.9	11459.4	320.253	156.935	156935	276.369	6262.99	5845.46	70145.5	0.047449	0.09
205883	77486.4	9591.3	388.61	131.641	131641	259.297	6520.36	6085.67	73028.1	0.0456726	0.09
182002	5318.02	19139.9	55.536	368.403	368403	288.479	4714.94	4400.61	52807.3	0.0602788	0.09
226691	697867	1351.79	948.707	66.3847	66384.7	163.827	8188.11	7642.24	91706.8	0.0362769	0.09
186894	463365	2128.16	740.703	70.9222	70922.2	171.563	7844.86	7321.87	87862.4	0.0379404	0.09
215848	105550	8126.05	444.714	116.202	116202	243.657	6712.32	6264.83	75178	0.0444096	0.09
208796	616029	1549.37	873.524	67.4903	67490.3	165.62	8086.64	7547.53	90570.4	0.0367557	0.09
214660	101153	8325.28	436.948	118.138	118138	245.875	6686.17	6240.43	74885.1	0.0445786	0.09
222143	678613	1393.95	930.922	66.6171	66617.1	164.197	8165.44	7621.07	91452.9	0.036383	0.09
205086	596451	1605.09	855.778	67.8092	67809.2	166.151	8060.08	7522.74	90272.9	0.0368828	0.09
185582	31976.5	13670.3	236.129	200.806	200806	290.312	5902.19	5508.71	66104.5	0.0501052	0.09
200119	568022	1693.54	830.278	68.3211	68321.1	167.016	8019.55	7484.92	89819	0.0370781	0.09
236720	737544	1271.51	985.427	65.948	65948	163.145	8232.99	7684.12	92209.4	0.0360686	0.09
189665	492484	1985.77	764.76	70.056	70056	170.026	7898.13	7371.59	88459.1	0.0376739	0.09
