"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
183213	5432.69	19019.9	56.3953	309.254	309254	285.489	4685.59	4373.22	52478.6	0.0562857	54000
193817	525283	1848.66	793	66.6074	66607.4	158.726	7487.74	6988.56	83862.7	0.0363786	54000
180594	5159.77	19343.4	54.4243	318.752	318752	284.955	4624.74	4316.43	51797.1	0.0568731	54000
197454	266825	3965.2	603.191	79.0052	79005.2	180.034	6845.27	6388.91	76667	0.0398437	54000
207858	610519	1565.96	868.754	65.1703	65170.3	156.651	7633.9	7124.98	85499.7	0.0356635	54000
186650	34840.2	13350.8	250.74	166.986	166986	272.768	5628.34	5253.12	63037.4	0.0480915	54000
202620	581940	1650.43	842.966	65.5899	65589.9	157.233	7587.46	7081.63	84979.6	0.035888	54000
173292	4529.91	20244.9	49.8402	343.911	343911	283.164	4458.33	4161.11	49933.3	0.0585162	54000
196416	57122.5	11083.1	335.196	136.361	136361	255.265	5901.4	5507.98	66095.7	0.0460265	54000
197230	58686.3	10952.3	339.923	134.896	134896	254.108	5916.25	5521.83	66262	0.045918	54000
211556	206243	5072.95	561.683	86.129	86129	192.514	6643.89	6200.96	74411.5	0.0410467	54000
184675	5599.94	18838.4	57.6019	303.85	303850	285.755	4719.87	4405.21	52862.5	0.0559579	54000
203116	241555	4382.47	586.862	81.6445	81644.5	184.706	6763.64	6312.73	75752.8	0.0403242	54000
228435	704526	1338.75	955.075	64.0922	64092.2	155.277	7772.86	7254.67	87056.1	0.0350068	54000
212070	631767	1508.5	888.106	64.8904	64890.4	156.275	7667.01	7155.87	85870.5	0.035505	54000
209311	618002	1545.24	875.554	65.0689	65068.9	156.513	7645.69	7135.98	85631.8	0.0356069	54000
199654	564360	1707.13	827.275	65.8764	65876.4	157.643	7557.69	7053.84	84646.1	0.0360332	54000
214698	192044	5391.64	550.187	88.2512	88251.2	196.126	6593.6	6154.02	73848.3	0.0413564	54000
193854	52169.2	11520.2	319.401	141.457	141457	259.025	5851.32	5461.23	65534.8	0.0463954	54000
200683	65392.9	10427	358.976	129.265	129265	249.333	5975.38	5577.02	66924.3	0.0454895	54000
205371	597287	1603.97	856.775	65.358	65358	156.908	7612.69	7105.18	85262.1	0.0357657	54000
204574	73333.8	9871.4	379.358	123.703	123703	244.068	6037.47	5634.98	67619.7	0.0450461	54000
212051	204094	5119.55	560.006	86.4372	86437.2	193.042	6636.36	6193.94	74327.2	0.0410928	54000
212545	201925	5167.16	558.292	86.7527	86752.7	193.582	6628.74	6186.82	74241.8	0.0411396	54000
213381	95134.4	8625.37	426.352	112.428	112428	231.573	6177.62	5765.78	69189.3	0.0440691	54000
220635	671478	1411.28	924.561	64.4277	64427.7	155.682	7726.07	7211	86532	0.0352254	54000
209785	85267	9146.18	406.476	116.961	116961	236.902	6118.64	5710.73	68528.7	0.0444763	54000
195406	536680	1804.94	802.9	66.3794	66379.4	158.383	7508.71	7008.13	84097.6	0.0362745	54000
224127	686595	1377.26	938.505	64.2692	64269.2	155.488	7747.72	7231.2	86774.4	0.035124	54000
216509	652864	1455.34	907.436	64.6356	64635.6	155.944	7698.81	7185.56	86226.7	0.035354	54000
228302	703980	1339.89	954.571	64.0974	64097.4	155.283	7772.11	7253.97	87047.6	0.0350103	54000
192386	514353	1892.68	783.591	66.8389	66838.9	159.079	7467.17	6969.36	83632.3	0.0364814	54000
216494	105878	8121.73	445.853	108.254	108254	226.292	6235.71	5820	69840	0.0436737	54000
198824	559215	1724.48	822.712	65.9649	65964.9	157.771	7548.78	7045.53	84546.4	0.0360769	54000
218345	661255	1435.17	915.148	64.54	64540	155.823	7711.19	7197.11	86365.3	0.0352955	54000
220051	126228	7304.49	477.796	101.855	101855	217.493	6333.46	5911.23	70934.7	0.0430207	54000
201838	577416	1664.66	838.914	65.6614	65661.4	157.335	7579.89	7074.57	84894.8	0.0359248	54000
201302	574274	1674.68	836.106	65.712	65712	157.407	7574.6	7069.63	84835.5	0.0359506	54000
225706	693255	1362.73	944.657	64.2021	64202.1	155.407	7757.12	7239.98	86879.8	0.0350801	54000
174754	4643.72	20063.8	50.6745	339.039	339039	283.553	4491.28	4191.87	50302.4	0.0581866	54000
207054	78767.6	9526.52	392.174	120.429	120429	240.699	6075.99	5670.93	68051.1	0.0447743	54000
211327	628113	1518.09	884.769	64.9368	64936.8	156.337	7661.4	7150.64	85807.6	0.0355318	54000
212365	202715	5149.75	558.919	86.6373	86637.3	193.384	6631.52	6189.42	74273	0.0411225	54000
184186	389975	2598.56	684.486	70.7561	70756.1	165.494	7194.9	6715.24	80582.8	0.0378907	54000
190750	45877.3	12129.2	297.234	149.13	149130	263.982	5779.92	5394.59	64735.1	0.0469289	54000
192042	511612	1904.06	781.246	66.8991	66899.1	159.171	7461.93	6964.47	83573.6	0.0365076	54000
196907	58064	11003.9	338.056	135.471	135471	254.567	5910.39	5516.37	66196.4	0.0459607	54000
196291	56881.6	11103.5	334.457	136.592	136592	255.444	5899.08	5505.81	66069.7	0.0460435	54000
183709	5488.11	18958.4	56.7952	307.429	307429	285.582	4697.19	4384.05	52608.6	0.0561745	54000
219811	667830	1419.72	921.2	64.4673	64467.3	155.731	7720.79	7206.07	86472.8	0.0352503	54000
182524	5357.77	19105.1	55.8547	311.777	311777	285.355	4669.51	4358.21	52298.5	0.0564402	54000
200463	64959.5	10459.3	357.8	129.601	129601	249.633	5971.76	5573.65	66883.8	0.0455156	54000
201794	67605.6	10265.5	364.873	127.609	127609	247.824	5993.46	5593.9	67126.8	0.0453597	54000
223626	684458	1381.98	936.532	64.2911	64291.1	155.514	7744.68	7228.37	86740.5	0.0351382	54000
196247	542451	1783.61	807.944	66.2688	66268.8	158.218	7519.14	7017.87	84214.4	0.0362228	54000
178792	4988.59	19565.4	53.1849	325.145	325145	284.551	4583.26	4277.71	51332.5	0.0572778	54000
187320	37321.1	13060	262.214	162.395	162395	270.83	5665.67	5287.96	63455.5	0.0478014	54000
181379	5238.3	19246.6	54.992	315.932	315932	285.122	4642.9	4333.37	52000.5	0.0566971	54000
215729	102946	8253.43	440.731	109.327	109327	227.684	6220.39	5805.7	69668.4	0.0437774	54000
177199	4846.69	19761.8	52.1547	330.7	330700	284.171	4546.82	4243.69	50924.3	0.0576359	54000
214071	641428	1483.7	896.945	64.771	64771	156.119	7681.7	7169.58	86035	0.0354351	54000
200996	66013.7	10381.2	360.649	128.792	128792	248.907	5980.52	5581.82	66981.8	0.0454526	54000
186821	336337	3080.26	647.407	73.5862	73586.2	170.416	7052.7	6582.52	78990.3	0.0386649	54000
211018	208553	5023.49	563.463	85.8027	85802.7	191.953	6651.94	6208.48	74501.7	0.0409974	54000
207067	78796.5	9524.75	392.24	120.413	120413	240.682	6076.19	5671.11	68053.3	0.0447729	54000
190286	496756	1968.28	768.635	67.2408	67240.8	159.701	7433.02	6937.49	83249.9	0.036653	54000
213953	640862	1485.13	896.427	64.7779	64777.9	156.128	7680.84	7168.79	86025.4	0.0354392	54000
178438	4956.36	19609	52.9512	326.387	326387	284.469	4575.15	4270.14	51241.7	0.0573572	54000
203188	585179	1640.41	845.872	65.5396	65539.6	157.162	7592.84	7086.66	85039.9	0.0358618	54000
187900	473232	2079.56	749.055	67.8413	67841.3	160.65	7385.3	6892.95	82715.3	0.0368953	54000
204864	234215	4515.05	581.924	82.4941	82494.1	186.2	6739.31	6290.03	75480.3	0.0404692	54000
199893	255557	4144.03	596.009	80.13	80130	182.03	6809.27	6355.32	76263.9	0.0400544	54000
190860	46112.1	12105.4	298.11	148.816	148816	263.794	5782.76	5397.24	64766.9	0.0469075	54000
195622	55594.8	11214.1	330.463	137.855	137855	256.409	5886.47	5494.04	65928.5	0.046136	54000
