"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).n_5"
192923	525342	1838.07	791.353	82.7037	82703.7	221.224	10448.5	9751.98	117024	0.0405044	1
194473	56352.1	11101	331.263	185.371	185371	300.473	6939.88	6477.22	77726.6	0.0492081	1
177500	4876.42	19716.3	52.3623	344.71	344710	285.148	4569.45	4264.82	51177.9	0.0585708	1
196340	265137	3971.95	600.086	99.195	99195	246.697	9374.13	8749.18	104990	0.0427292	1
190114	299385	3489.77	621.646	95.2443	95244.3	241.054	9583.91	8944.98	107340	0.0422697	1
198448	562355	1704.28	823.844	81.7522	81752.2	219.626	10532.7	9830.54	117966	0.0403428	1
196164	59704.7	10821.8	341.315	180.594	180594	299.796	7029.65	6561.01	78732.1	0.0489239	1
245189	771285	1203.58	1015.43	78.2818	78281.8	213.736	10875	10150	121800	0.039703	1
216404	656342	1439	909.092	79.8953	79895.3	216.485	10708.3	9994.43	119933	0.0400112	1
207072	83133.2	9226.39	399.998	155.858	155858	293.433	7541.84	7039.05	84468.6	0.0473784	1
202636	72957.5	9852.42	376.628	165.046	165046	296.437	7341	6851.6	82219.2	0.0479696	1
184892	5637.97	18791.4	57.8544	330.73	330730	287.94	4763.85	4446.26	53355.1	0.0576379	1
207073	610932	1556.14	867.538	80.7103	80710.3	217.867	10629.3	9920.66	119048	0.0401595	1
190668	48617.7	11807.8	305.83	198.021	198021	301.626	6712.93	6265.4	75184.9	0.0499453	1
204709	228084	4608.65	575.648	104.641	104641	253.93	9116.11	8508.37	102100	0.0433127	1
175973	4745.47	19906.4	51.4109	347.43	347430	284.582	4531.32	4229.23	50750.8	0.0587581	1
212495	194031	5321.81	549.805	111.089	111089	261.654	8846.7	8256.92	99083.1	0.0439445	1
178571	4972.61	19583	53.0591	342.773	342773	285.546	4596.53	4290.1	51481.2	0.0584387	1
207659	215611	4854.19	566.711	106.817	106817	256.639	9021.32	8419.9	101039	0.0435323	1
176059	4752.63	19895.7	51.463	347.279	347279	284.613	4533.44	4231.21	50774.5	0.0587477	1
197186	61735.7	10659.8	347.16	177.884	177884	299.344	7081.7	6609.58	79315	0.0487611	1
193431	529042	1823.72	794.562	82.6012	82601.2	221.053	10457.4	9760.28	117123	0.0404872	1
211813	96213.5	8534.32	426.442	146.446	146446	289.37	7764.17	7246.56	86958.7	0.046745	1
179262	5036.87	19496.9	53.5239	341.508	341508	285.804	4614.2	4306.58	51679	0.0583529	1
221591	679427	1385.63	930.378	79.5266	79526.6	215.858	10745.2	10028.8	120346	0.0399425	1
202053	71706.7	9935.78	373.555	166.319	166319	296.788	7314.25	6826.63	81919.6	0.0480497	1
171307	4383.94	20489.5	48.7625	355.45	355450	282.868	4418.1	4123.56	49482.7	0.0593228	1
213000	100128	8347.14	433.694	144.028	144028	288.141	7824.49	7302.86	87634.3	0.0465769	1
201620	241228	4367.66	584.597	102.547	102547	251.226	9211.55	8597.45	103169	0.0430945	1
206099	80780	9363.5	394.835	157.814	157814	294.146	7497.85	6997.99	83975.9	0.0475063	1
192241	520250	1858.19	786.951	82.8477	82847.7	221.465	10436.1	9740.38	116885	0.0405284	1
187962	314670	3302.85	631.358	93.75	93750	238.837	9669.28	9024.66	108296	0.0420863	1
200413	574193	1665.61	834.397	81.4791	81479.1	219.166	10557.6	9853.74	118245	0.0402954	1
169722	4272.3	20688.7	47.936	358.081	358081	282.291	4380.68	4088.64	49063.6	0.0595124	1
227715	705131	1330.26	954.151	79.1459	79145.9	215.21	10783.9	10065	120780	0.0398705	1
206675	219788	4770.06	569.761	106.066	106066	255.716	9053.54	8449.97	101400	0.0434573	1
207391	83925.3	9181.18	401.706	155.22	155220	293.191	7556.34	7052.58	84631	0.0473364	1
192386	285666	3671.85	613.016	96.7196	96719.6	243.199	9503.02	8869.49	106434	0.0424453	1
205347	79013.4	9469.31	390.868	159.345	159345	294.676	7463.91	6966.31	83595.8	0.0476056	1
222876	684949	1373.4	935.479	79.4423	79442.3	215.714	10753.7	10036.8	120441	0.0399267	1
202002	239587	4396.8	583.501	102.798	102798	251.555	9199.87	8586.55	103039	0.043121	1
176274	4770.68	19869	51.5944	346.899	346899	284.693	4538.78	4236.19	50834.3	0.0587214	1
212700	99102.5	8395.39	431.821	144.646	144646	288.463	7808.93	7288.34	87460	0.0466201	1
214402	105316	8111.08	442.89	141.051	141051	286.516	7900.75	7374.03	88488.4	0.0463665	1
210720	92890.6	8699.88	420.06	148.629	148629	290.411	7710.9	7196.84	86362.1	0.0468948	1
169526	4258.86	20713.4	47.8362	358.403	358403	282.22	4376.1	4084.36	49012.3	0.0595357	1
201727	581824	1641.61	841.236	81.31	81310	218.881	10573.1	9868.25	118419	0.0402658	1
200939	69358.3	10096.5	367.651	168.808	168808	297.431	7262.66	6778.48	81341.8	0.0482053	1
185686	35342.8	13245.4	252.168	225.788	225788	301.733	6256.93	5839.8	70077.6	0.0515137	1
200769	69005.2	10121.2	366.747	169.194	169194	297.526	7254.74	6771.09	81253.1	0.0482292	1
207708	84721.3	9136.22	403.408	154.588	154588	292.947	7570.77	7066.05	84792.6	0.0472947	1
195408	58207.1	10944.6	336.889	182.679	182679	300.109	6990.16	6524.15	78289.8	0.0490484	1
202169	71954	9919.18	374.166	166.065	166065	296.719	7319.58	6831.61	81979.3	0.0480337	1
161067	3737.59	21792.4	43.8924	371.698	371698	279.182	4184.27	3905.31	46863.8	0.0605316	1
194351	535565	1799	800.242	82.4248	82424.8	220.757	10472.8	9774.65	117296	0.0404576	1
198182	256479	4109.2	594.56	100.346	100346	248.28	9316.84	8695.72	104349	0.042857	1
185532	337143	3055.77	645.975	91.8052	91805.2	235.886	9786.1	9133.7	109604	0.0418388	1
203002	73750.6	9800.35	378.553	164.256	164256	296.212	7357.71	6867.19	82406.3	0.0479197	1
194187	534421	1803.28	799.244	82.4554	82455.4	220.808	10470.2	9772.16	117266	0.0404627	1
208184	85934.9	9068.56	405.973	153.644	153644	292.574	7592.48	7086.32	85035.8	0.0472322	1
228506	708345	1323.61	957.126	79.1003	79100.3	215.132	10788.6	10069.4	120833	0.0398618	1
217753	662476	1424.45	914.74	79.7946	79794.6	216.313	10718.3	10003.7	120045	0.0399925	1
235730	736661	1267.34	983.361	78.7155	78715.5	214.476	10828.8	10106.8	121282	0.0397878	1
198037	559807	1712.84	821.582	81.8129	81812.9	219.728	10527.2	9825.43	117905	0.0403532	1
186958	23049.9	14757.8	184.851	256.443	256443	299.367	5797.95	5411.42	64937.1	0.0532218	1
200833	576655	1657.78	836.601	81.4239	81423.9	219.073	10562.6	9858.46	118301	0.0402858	1
175698	4722.56	19940.7	51.2442	347.916	347916	284.48	4524.49	4222.86	50674.3	0.0587918	1
184718	347296	2954.04	652.748	91.0144	91014.4	234.666	9835.63	9179.92	110159	0.041735	1
208428	86566.7	9033.74	407.296	153.161	153161	292.379	7603.66	7096.75	85161	0.0472001	1
186358	466543	2101.76	741.804	84.6075	84607.5	224.391	10290.3	9604.3	115252	0.0408129	1
222831	684757	1373.82	935.302	79.4452	79445.2	215.719	10753.4	10036.5	120438	0.0399272	1
209227	208866	4994.27	561.648	108.078	108078	258.162	8968.25	8370.36	100444	0.0436565	1
176111	4756.94	19889.3	51.4944	347.188	347188	284.633	4534.72	4232.4	50788.8	0.0587414	1
186868	39511.2	12763.3	270.708	216.232	216232	302	6408.46	5981.23	71774.7	0.050979	1
216757	116490	7642.96	461.237	135.381	135381	283.049	8052.85	7515.99	90191.9	0.045954	1
187966	314640	3303.2	631.338	93.7528	93752.8	238.841	9669.12	9024.51	108294	0.0420867	1
214643	106287	8068.27	444.562	140.52	140520	286.212	7914.61	7386.97	88643.6	0.0463285	1
170501	4326.56	20590.7	48.3383	356.793	356793	282.575	4399.02	4105.75	49269	0.0594193	1
198616	563390	1700.82	824.764	81.7278	81727.8	219.585	10534.9	9832.6	117991	0.0403386	1
187337	477361	2047.58	750.691	84.2133	84213.3	223.739	10322	9633.91	115607	0.0407505	1
207402	612639	1551.4	869.09	80.6772	80677.2	217.811	10632.4	9923.6	119083	0.0401536	1
190208	504063	1925.29	773.089	83.3293	83329.3	222.269	10395.1	9702.12	116425	0.0406078	1
218306	128674	7184.84	479.226	130.112	130112	279.356	8203.28	7656.4	91876.7	0.0455551	1
175518	4707.72	19963.2	51.136	348.232	348232	284.413	4520.05	4218.71	50624.5	0.0588138	1
190246	298537	3500.63	621.11	95.3317	95331.7	241.183	9579.03	8940.42	107285	0.0422802	1
181077	5214.36	19270.6	54.805	338.13	338130	286.486	4661.25	4350.5	52206	0.0581258	1
189942	501807	1935.04	771.173	83.3995	83399.5	222.386	10389.2	9696.61	116359	0.0406193	1
208618	87064.4	9006.51	408.331	152.785	152785	292.225	7612.4	7104.91	85258.9	0.047175	1
181413	5248.74	19228.6	55.0529	337.495	337495	286.613	4670.08	4358.74	52304.9	0.0580834	1
182353	5347.55	19111.1	55.7646	335.705	335705	286.969	4694.94	4381.94	52583.3	0.0579645	1
212962	99994.9	8353.37	433.452	144.107	144107	288.183	7822.48	7300.98	87611.8	0.0465824	1
225898	697665	1345.94	947.239	79.2535	79253.5	215.393	10772.9	10054.7	120656	0.039891	1
225732	696976	1347.4	946.602	79.2636	79263.6	215.41	10771.9	10053.7	120645	0.0398929	1
208631	211449	4940.01	563.608	107.588	107588	257.574	8988.72	8389.47	100674	0.0436085	1
209254	622081	1525.7	877.691	80.4978	80497.8	217.507	10649.6	9939.61	119275	0.0401213	1
221883	680688	1382.82	931.543	79.5072	79507.2	215.825	10747.1	10030.6	120368	0.0399389	1
208082	616138	1541.78	872.274	80.61	80610	217.697	10638.8	9929.58	119155	0.0401415	1
218237	156780	6283.15	514.135	120.465	120465	271.288	8506.59	7939.49	95273.9	0.0447773	1
184143	5548.48	18886	57.2106	332.218	332218	287.652	4743.26	4427.04	53124.5	0.057735	1
179079	5019.72	19519.7	53.4	341.844	341844	285.736	4609.52	4302.22	51626.6	0.0583756	1
162325	3808.61	21630	44.4395	369.794	369794	279.63	4212.04	3931.24	47174.9	0.0603849	1
210735	92934.6	8697.65	420.145	148.599	148599	290.397	7711.62	7197.51	86370.2	0.0468928	1
191685	50740.5	11604.6	313.156	194.306	194306	301.375	6778.09	6326.22	75914.6	0.0497308	1
217339	165597	6035.09	523.51	117.962	117962	268.897	8592.36	8019.53	96234.4	0.0445634	1
185237	32680.2	13565.9	239.324	232.233	232233	301.409	6157.35	5746.86	68962.3	0.0518727	1
187437	41102.4	12586.4	277.336	212.779	212779	302.026	6464.48	6033.51	72402.1	0.0507848	1
200107	247826	4253.15	588.951	101.566	101566	249.926	9257.8	8640.61	103687	0.0429897	1
190887	6526.69	18009.1	64.2626	317.925	317925	290.331	4940.36	4611	55332	0.0568213	1
197129	61622.5	10668.7	346.839	178.032	178032	299.37	7078.84	6606.92	79283	0.04877	1
221319	678249	1388.27	929.289	79.5448	79544.8	215.889	10743.3	10027.1	120325	0.0399459	1
191078	49480	11724.4	308.841	196.488	196488	301.531	6739.67	6290.36	75484.3	0.049857	1
211619	198161	5227.83	553.21	110.216	110216	260.662	8881.23	8289.15	99469.8	0.0438622	1
190771	295220	3543.58	619.02	95.6782	95678.2	241.69	9559.78	8922.46	107070	0.0423219	1
188237	486394	2004.47	758.198	83.9008	83900.8	223.22	10347.6	9657.73	115893	0.0407005	1
215392	651679	1450.24	904.804	79.9731	79973.1	216.617	10700.6	9987.25	119847	0.0400255	1
193664	278658	3770.43	608.615	97.5266	97526.6	244.354	9460.1	8829.42	105953	0.0425393	1
191531	50422	11634.7	312.075	194.851	194851	301.416	6768.46	6317.23	75806.7	0.0497624	1
178401	4957.1	19604.2	52.9469	343.082	343082	285.483	4592.22	4286.07	51432.8	0.0584597	1
162174	3799.98	21649.4	44.3731	370.024	370024	279.576	4208.7	3928.12	47137.4	0.0604026	1
226835	701529	1337.79	950.816	79.1975	79197.5	215.297	10778.6	10060.1	120721	0.0398804	1
183511	5475.49	18965.7	56.6855	333.461	333461	287.41	4726.05	4410.98	52931.7	0.0578165	1
185592	34902	13297.9	250.099	226.839	226839	301.688	6240.57	5824.53	69894.4	0.0515722	1
190559	506983	1912.82	775.574	83.2396	83239.6	222.12	10402.7	9709.18	116510	0.0405931	1
190161	503665	1927	772.751	83.3416	83341.6	222.29	10394.1	9701.15	116414	0.0406099	1
188016	42597.8	12424	283.359	209.639	209639	302.013	6516.08	6081.68	72980.1	0.0506076	1
194473	56352.8	11101	331.265	185.37	185370	300.473	6939.9	6477.24	77726.8	0.049208	1
178679	4982.61	19569.5	53.1315	342.575	342575	285.587	4599.31	4292.68	51512.2	0.0584252	1
204289	596125	1598.47	854.118	81.0068	81006.8	218.369	10601.3	9894.56	118735	0.0402124	1
229725	713250	1313.57	961.669	79.0315	79031.5	215.015	10795.8	10076	120912	0.0398487	1
201994	71581.9	9944.18	373.245	166.448	166448	296.822	7311.56	6824.12	81889.4	0.0480578	1
212980	191681	5376.3	547.826	111.598	111598	262.226	8826.8	8238.35	98860.2	0.0439922	1
210726	92910	8698.9	420.097	148.616	148616	290.405	7711.22	7197.14	86365.7	0.0468939	1
195369	269891	3899.36	603.094	98.5911	98591.1	245.856	9404.83	8777.84	105334	0.0426611	1
201401	70326	10029.6	370.105	167.767	167767	297.169	7284.14	6798.53	81582.4	0.0481403	1
191407	50165.6	11658.9	311.2	195.293	195293	301.448	6760.66	6309.95	75719.4	0.049788	1
215248	108860	7956.95	448.918	139.151	139151	285.41	7950.68	7420.64	89047.6	0.04623	1
219184	668879	1409.56	920.642	79.6917	79691.7	216.138	10728.6	10013.3	120160	0.0399734	1
