"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).n_5"
213875	640149	1487.62	895.903	63.4314	63431.4	151.101	7431.4	6935.97	83231.7	0.0345272	3
194346	53697.5	11372.1	324.122	146.662	146662	266.237	6061.15	5657.07	67884.8	0.0467599	3
207277	79718.4	9464.35	394.134	123.003	123003	245.862	6229.33	5814.04	69768.5	0.0449887	3
173885	4586.25	20141.2	50.224	431.137	431137	286.582	4527.64	4225.8	50709.6	0.0661205	3
212355	92569.2	8751.68	421.219	115.807	115807	237.647	6289.43	5870.14	70441.6	0.0443747	3
185143	5685.31	18732.9	58.1658	390.093	390093	290.924	4823.16	4501.61	54019.4	0.0620296	3
189935	492963	1986.2	765.571	66.1039	66103.9	155.316	7214.51	6733.54	80802.5	0.0361444	3
219080	664238	1428.78	918.022	63.1446	63144.6	150.712	7463.93	6966.34	83596	0.0342941	3
191323	505143	1932.28	775.86	65.7987	65798.7	154.8	7234.01	6751.74	81020.9	0.0359944	3
193645	15757.6	15615	134.159	256.009	256009	294.59	5502.21	5135.4	61624.7	0.0531974	3
221866	676550	1400.34	929.365	63.0089	63008.9	150.535	7480.35	6981.66	83779.9	0.0341774	3
184074	5556.02	18868	57.236	394.726	394726	290.523	4793.64	4474.07	53688.8	0.0624332	3
198591	61806.7	10693.6	348.761	137.338	137338	259.306	6123.12	5714.91	68578.9	0.0460982	3
175190	4690.7	19978.1	50.9864	427.161	427161	287.094	4560.37	4256.34	51076.1	0.0656628	3
191208	301265	3484.19	624.913	75.337	75337	172.314	6854.59	6397.61	76771.4	0.039081	3
215716	648841	1465.87	903.872	63.3245	63324.5	150.954	7443.21	6946.99	83363.9	0.0344423	3
205783	599139	1599.26	858.579	63.9954	63995.4	151.916	7374.49	6882.86	82594.3	0.0349409	3
176181	4773.16	19854.4	51.5863	424.019	424019	287.482	4585.47	4279.77	51357.3	0.0653124	3
209088	616498	1550.06	874.317	63.7438	63743.8	151.545	7398.84	6905.58	82867	0.034763	3
183087	5442.63	18992.2	56.4204	398.852	398852	290.15	4766.68	4448.91	53386.9	0.062803	3
204050	589629	1627.55	850.003	64.1421	64142.1	152.136	7360.97	6870.24	82442.9	0.0350402	3
191563	48241.9	11881.8	305.558	154.546	154546	271.159	6012.02	5611.22	67334.7	0.0472919	3
184750	423504	2362.92	709.626	68.3093	68309.3	159.198	7096.24	6623.15	79477.8	0.0370737	3
217681	657912	1443.81	912.203	63.2171	63217.1	150.809	7455.44	6958.41	83501	0.0343547	3
217422	177678	5741.78	537.382	90.8384	90838.4	200.732	6562.27	6124.79	73497.4	0.0417117	3
187496	467881	2107.49	744.798	66.8011	66801.1	156.519	7173.24	6695.02	80340.3	0.0364648	3
193121	51330.3	11587.7	316.289	149.894	149894	268.351	6040.68	5637.97	67655.7	0.0469807	3
174524	4636.85	20061.3	50.5936	429.212	429212	286.833	4543.62	4240.72	50888.6	0.0658968	3
189632	44184.8	12291.3	290.472	161.547	161547	274.907	5970.47	5572.43	66869.2	0.0477472	3
216119	650720	1461.25	905.596	63.3019	63301.9	150.923	7445.75	6949.37	83392.4	0.0344241	3
184363	409649	2455.49	699.112	68.8671	68867.1	160.21	7071.08	6599.67	79196.1	0.0372758	3
179914	5111.54	19389.2	54.0357	411.173	411173	288.934	4681.94	4369.81	52437.7	0.0639717	3
161164	3748.07	21756.8	43.9538	461.918	461918	281.612	4225.31	3943.63	47323.5	0.0703761	3
212234	632217	1508.01	888.647	63.5325	63532.5	151.243	7420.55	6925.85	83110.2	0.0346055	3
175086	4682.24	19991.1	50.9247	427.483	427483	287.053	4557.75	4253.9	51046.9	0.0656993	3
209275	215970	4869.16	569.046	84.6266	84626.6	189.677	6659.02	6215.09	74581	0.0408158	3
195228	55386.2	11223.3	329.52	144.512	144512	264.752	6075.03	5670.03	68040.3	0.0466108	3
222351	678658	1395.58	931.309	62.9864	62986.4	150.506	7483.14	6984.27	83811.2	0.0341576	3
202200	579116	1660.02	840.566	64.3121	64312.1	152.395	7345.87	6856.14	82273.7	0.0351518	3
181152	5235.31	19234.5	54.928	406.527	406527	289.411	4714.7	4400.38	52804.6	0.0635188	3
193850	52744.3	11457.9	321.006	147.931	147931	267.084	6053.05	5649.52	67794.2	0.0468471	3
193661	52379	11491.1	319.799	148.429	148429	267.41	6049.9	5646.57	67758.9	0.0468811	3
199260	561499	1717.48	824.865	64.6173	64617.3	152.87	7320.16	6832.14	81985.7	0.0353428	3
188782	481840	2038.19	756.287	66.401	66401	155.825	7196.4	6716.64	80599.6	0.0362845	3
227796	701607	1345.51	952.503	62.7529	62752.9	150.214	7513.38	7012.49	84149.9	0.0339444	3
216606	652975	1455.74	907.666	63.275	63275	150.887	7448.79	6952.21	83426.5	0.0344023	3
186045	346191	2981.36	654.052	72.1208	72120.8	166.243	6948.63	6485.38	77824.6	0.0382822	3
206732	604220	1584.54	863.174	63.9197	63919.7	151.803	7381.66	6889.55	82674.6	0.0348884	3
174834	4661.76	20022.6	50.7754	428.263	428263	286.954	4551.4	4247.98	50975.7	0.0657881	3
217443	656822	1446.42	911.201	63.2298	63229.8	150.826	7453.98	6957.05	83484.6	0.0343652	3
198742	558264	1728.48	821.999	64.6762	64676.2	152.963	7315.38	6827.68	81932.2	0.0353785	3
204605	592705	1618.29	852.773	64.0939	64093.9	152.063	7365.36	6874.34	82492	0.0350079	3
207398	79995.8	9447.69	394.761	122.827	122827	245.673	6230.74	5815.36	69784.3	0.0449742	3
236542	736116	1275.79	984.431	62.4394	62439.4	149.852	7558.23	7054.34	84652.1	0.0336319	3
205302	75340.5	9735.94	383.977	125.937	125937	248.918	6206.28	5792.53	69510.3	0.0452268	3
212039	631265	1510.5	887.778	63.5449	63544.9	151.261	7419.25	6924.63	83095.6	0.0346149	3
216381	183515	5595.89	542.739	89.7771	89777.1	198.886	6577.53	6139.03	73668.4	0.0415687	3
203115	584362	1643.66	845.269	64.2262	64226.2	152.264	7353.43	6863.2	82358.4	0.0350959	3
201252	573566	1677.7	835.603	64.4055	64405.5	152.539	7337.82	6848.63	82183.6	0.0352114	3
193839	524938	1850.8	792.83	65.3436	65343.6	154.042	7265	6780.67	81368	0.035758	3
186625	36272.5	13165.7	257.102	179.01	179010	282.174	5873.41	5481.85	65782.1	0.0488289	3
185324	5707.99	18709.9	58.3289	389.289	389289	290.991	4828.2	4506.32	54075.9	0.0619608	3
194667	14890.4	15715.8	127.633	260.245	260245	294.776	5482.86	5117.33	61408	0.0534349	3
206919	78907	9513.47	392.291	123.525	123525	246.418	6225.17	5810.16	69721.9	0.0450315	3
199033	62657.7	10627.4	351.173	136.489	136489	258.61	6129	5720.4	68644.8	0.0460359	3
210827	625279	1526.3	882.313	63.624	63624	151.373	7411.01	6916.94	83003.3	0.0346746	3
204360	73334.5	9866.07	379.14	127.385	127385	250.366	6195.18	5782.16	69386	0.0453421	3
180812	5200.67	19277	54.6784	407.823	407823	289.28	4705.66	4391.95	52703.4	0.0636436	3
188656	41948.5	12528.4	281.614	165.916	165916	276.984	5945.37	5549.02	66588.2	0.0480244	3
203803	72168.8	9943.41	376.274	128.26	128260	251.222	6188.55	5775.98	69311.8	0.045411	3
204349	591290	1622.54	851.499	64.116	64116	152.097	7363.34	6872.45	82469.4	0.0350228	3
228391	704041	1340.38	954.754	62.7294	62729.4	150.186	7516.57	7015.46	84185.6	0.033922	3
193452	51973.3	11528.3	318.448	148.989	148989	267.773	6046.36	5643.27	67719.3	0.0469193	3
203516	71574	9983.39	374.795	128.716	128716	251.662	6185.12	5772.78	69273.4	0.0454467	3
213792	639749	1488.64	895.537	63.4364	63436.4	151.108	7430.85	6935.46	83225.6	0.0345312	3
185910	348005	2963.61	655.27	72.009	72009	166.033	6952.29	6488.81	77865.7	0.0382515	3
216247	651313	1459.8	906.14	63.2948	63294.8	150.914	7446.55	6950.11	83401.4	0.0344184	3
222975	681350	1389.53	933.793	62.9578	62957.8	150.469	7486.71	6987.6	83851.2	0.0341323	3
178581	4985.22	19555.3	53.1233	415.951	415951	288.417	4647.13	4337.32	52047.9	0.0644543	3
201691	247787	4274.46	591.013	80.5601	80560.1	182.159	6734.7	6285.72	75428.7	0.0401325	3
218408	171453	5903.18	531.41	92.0243	92024.3	202.77	6545.74	6109.36	73312.3	0.0418672	3
187222	38190.9	12944.8	265.74	174.229	174229	280.444	5899.17	5505.89	66070.7	0.0485392	3
207826	609982	1568.18	868.397	63.8359	63835.9	151.68	7389.75	6897.1	82765.2	0.0348292	3
196743	13071.3	15944.7	113.747	270.134	270134	295.097	5437.68	5075.17	60902	0.053993	3
187790	471256	2090.3	747.558	66.7015	66701.5	156.345	7178.88	6700.29	80403.5	0.0364207	3
230710	713405	1320.97	963.414	62.641	62641	150.081	7528.79	7026.87	84322.4	0.0338365	3
212569	633853	1503.76	890.143	63.5114	63511.4	151.213	7422.8	6927.94	83135.3	0.0345893	3
202283	579596	1658.51	840.996	64.3042	64304.2	152.383	7346.56	6856.79	82281.5	0.0351466	3
202342	579938	1657.44	841.302	64.2985	64298.5	152.375	7347.05	6857.25	82287	0.035143	3
190148	19049.9	15242.2	158.109	241.029	241029	293.659	5570.9	5199.51	62394.1	0.052362	3
227803	701636	1345.45	952.53	62.7527	62752.7	150.214	7513.42	7012.53	84150.3	0.0339441	3
198183	554721	1740.69	818.867	64.7419	64741.9	153.068	7310.12	6822.78	81873.3	0.0354178	3
216108	650671	1461.37	905.551	63.3025	63302.5	150.924	7445.68	6949.3	83391.6	0.0344246	3
191139	301713	3478.52	625.196	75.3002	75300.2	172.245	6855.56	6398.52	76782.2	0.0390726	3
232279	719628	1308.33	969.172	62.584	62584	150.015	7536.88	7034.42	84413.1	0.0337801	3
211683	629514	1515.09	886.178	63.5678	63567.8	151.293	7416.84	6922.39	83068.6	0.0346323	3
195103	534077	1815.51	800.76	65.1491	65149.1	153.723	7279.03	6793.76	81525.1	0.0356517	3
186817	459526	2151.31	738.012	67.0562	67056.2	156.965	7159.14	6681.86	80182.4	0.0365752	3
177012	4844.53	19750.8	52.1044	421.3	421300	287.806	4606.68	4299.57	51594.8	0.0650168	3
192609	515572	1888.45	784.764	65.553	65553	154.388	7250.44	6767.08	81204.9	0.0358688	3
220487	151413	6468.58	510.083	96.2846	96284.6	209.878	6490.34	6057.65	72691.8	0.0423941	3
207283	607135	1576.22	865.816	63.877	63877	151.74	7385.76	6893.37	82720.5	0.0348584	3
198795	62199.8	10662.9	349.879	136.943	136943	258.984	6125.85	5717.46	68609.5	0.0460693	3
199689	63927.5	10530.2	354.717	135.261	135261	257.581	6137.59	5728.42	68741.1	0.0459451	3
170585	4340.29	20555.1	48.4163	440.435	440435	285.287	4446.38	4149.95	49799.4	0.0672604	3
186334	452960	2187.04	732.731	67.2654	67265.4	157.333	7147.94	6671.41	80056.9	0.0366633	3
198897	62395.3	10647.7	350.432	136.748	136748	258.824	6127.2	5718.72	68624.6	0.046055	3
189272	486706	2015.11	760.335	66.2688	66268.8	155.598	7204.36	6724.07	80688.8	0.0362228	3
188053	324898	3203.84	640.017	73.5328	73532.8	168.903	6904.82	6444.49	77333.9	0.0386515	3
196757	58300.4	10976.1	338.492	141.075	141075	262.24	6097.71	5691.2	68294.4	0.0463682	3
215817	186469	5523.97	545.366	89.2575	89257.5	197.976	6585.17	6146.16	73753.9	0.0414973	3
222420	678957	1394.91	931.584	62.9832	62983.2	150.502	7483.54	6984.64	83815.7	0.0341548	3
205688	598623	1600.77	858.113	64.0032	64003.2	151.927	7373.76	6882.18	82586.1	0.0349462	3
178111	4942.19	19613.9	52.812	417.584	417584	288.234	4634.95	4325.95	51911.4	0.0646235	3
203262	585198	1641.08	846.02	64.2127	64212.7	152.243	7354.63	6864.32	82371.8	0.035087	3
192450	16801.8	15496.5	141.907	251.124	251124	294.336	5524.55	5156.25	61875	0.0529244	3
189393	43651.5	12347.1	288.397	162.553	162553	275.403	5964.63	5566.99	66803.9	0.0478115	3
200144	64815.5	10463.4	357.158	134.429	134429	256.869	6143.47	5733.91	68806.9	0.0458831	3
193840	52724.5	11459.7	320.941	147.958	147958	267.102	6052.88	5649.36	67792.3	0.0468489	3
193444	51957.4	11529.8	318.395	149.011	149011	267.788	6046.23	5643.14	67717.7	0.0469208	3
221634	675542	1402.63	928.435	63.0198	63019.8	150.549	7479.01	6980.41	83764.9	0.0341869	3
183254	5461.39	18971.3	56.5554	398.166	398166	290.213	4771.22	4453.14	53437.6	0.0627408	3
196674	270800	3905.27	605.758	78.0952	78095.2	177.528	6787.36	6334.87	76018.4	0.039666	3
200014	566137	1701.97	828.984	64.5344	64534.4	152.74	7326.98	6838.51	82062.1	0.035292	3
216374	651902	1458.35	906.682	63.2878	63287.8	150.904	7447.35	6950.86	83410.3	0.0344127	3
204389	236305	4477.07	583.375	81.9318	81931.8	184.714	6707.8	6260.61	75127.3	0.0403737	3
182855	5416.79	19021.4	56.2345	399.8	399800	290.062	4760.4	4443.04	53316.5	0.0628894	3
210312	87049	9043.73	410.044	118.674	118674	241.046	6264.83	5847.17	70166	0.0446248	3
190086	494344	1979.93	766.731	66.0683	66068.3	155.256	7216.74	6735.62	80827.4	0.0361272	3
210458	87426.4	9023.13	410.829	118.469	118469	240.807	6266.56	5848.79	70185.5	0.0446071	3
186373	35332.2	13275.9	252.725	181.498	181498	283.007	5860.2	5469.52	65634.2	0.048978	3
211470	628467	1517.84	885.222	63.5816	63581.6	151.313	7415.4	6921.04	83052.5	0.0346428	3
194727	531404	1825.69	798.434	65.205	65205	153.814	7274.94	6789.95	81479.4	0.0356826	3
194105	526900	1843.1	794.528	65.3011	65301.1	153.972	7268.03	6783.49	81401.9	0.035735	3
215267	101763	8305.18	438.487	111.618	111618	232.371	6327.19	5905.37	70864.5	0.043994	3
197533	550530	1755.36	815.17	64.8212	64821.2	153.194	7303.87	6816.95	81803.4	0.0354646	3
208631	614152	1556.54	872.184	63.7767	63776.7	151.593	7395.57	6902.54	82830.4	0.0347868	3
205945	76738.3	9647.44	387.277	124.968	124968	247.927	6213.81	5799.55	69594.6	0.0451489	3
207010	225397	4681.87	575.842	83.3326	83332.6	187.304	6681.82	6236.37	74836.4	0.0406084	3
195657	537949	1800.98	804.136	65.0694	65069.4	153.593	7284.92	6799.26	81591.1	0.0356072	3
192200	49518.4	11758.4	310.067	152.559	152559	269.993	6024.16	5622.55	67470.6	0.0471599	3
228803	705719	1336.87	956.305	62.7133	62713.3	150.167	7518.76	7017.51	84210.1	0.0339066	3
176719	4819.09	19787.4	51.9199	422.269	422269	287.692	4599.17	4292.56	51510.7	0.0651214	3
216166	650939	1460.71	905.797	63.2993	63299.3	150.92	7446.04	6949.64	83395.7	0.034422	3
206963	79006.4	9507.42	392.518	123.461	123461	246.349	6225.68	5810.64	69727.7	0.0450263	3
207744	609554	1569.38	868.009	63.8421	63842.1	151.689	7389.15	6896.54	82758.5	0.0348336	3
183442	5482.79	18947.6	56.7093	397.385	397385	290.285	4776.35	4457.93	53495.1	0.0626703	3
180529	5172.23	19312.4	54.4734	408.89	408890	289.171	4698.17	4384.96	52619.5	0.0637472	3
182577	5386.2	19056.2	56.0144	400.926	400926	289.956	4752.88	4436.03	53232.3	0.0629927	3
203791	72143.7	9945.09	376.212	128.279	128279	251.24	6188.41	5775.85	69310.2	0.0454125	3
209757	619904	1540.76	877.416	63.6968	63696.8	151.477	7403.57	6910	82920	0.0347286	3
213399	95646.8	8597.01	427.177	114.331	114331	235.83	6302.48	5882.32	70587.8	0.0442426	3
199468	562788	1713.14	826.009	64.594	64594	152.834	7322.05	6833.92	82007	0.0353287	3
212576	93203.3	8719.36	422.462	115.496	115496	237.268	6292.16	5872.68	70472.2	0.044347	3
210976	626017	1524.33	882.987	63.6141	63614.1	151.359	7412.03	6917.89	83014.7	0.0346672	3
221498	674948	1403.99	927.888	63.0262	63026.2	150.557	7478.22	6979.67	83756	0.0341925	3
169841	4288.09	20648.8	48.0299	442.39	442390	284.996	4428.36	4133.13	49597.6	0.0675138	3
183208	5456.28	18977	56.5186	398.353	398353	290.196	4769.98	4451.98	53423.8	0.0627577	3
209652	85378	9136.13	406.53	119.604	119604	242.112	6257.04	5839.9	70078.8	0.0447044	3
148958	3143.61	23372.2	39.1273	481.44	481440	276.985	3960.74	3696.69	44360.3	0.0740963	3
177767	4911.22	19656.7	52.5878	418.761	418761	288.101	4626.08	4317.67	51812.1	0.0647468	3
214507	99163.9	8426.79	433.764	112.737	112737	233.817	6316.87	5895.75	70749	0.0440976	3
193973	52980.8	11436.5	321.784	147.612	147612	266.873	6055.08	5651.41	67816.9	0.0468252	3
204003	237924	4447.72	584.468	81.7322	81732.2	184.343	6711.62	6264.18	75170.1	0.0403393	3
216402	183404	5598.6	542.64	89.7967	89796.7	198.921	6577.24	6138.76	73665.1	0.0415714	3
199587	63730	10545.2	354.17	135.449	135449	257.74	6136.27	5727.19	68726.3	0.0459591	3
224406	687464	1375.98	939.436	62.8942	62894.2	150.389	7494.79	6995.14	83941.7	0.0340752	3
201821	247221	4284.14	590.642	80.6253	80625.3	182.28	6733.39	6284.49	75413.9	0.0401443	3
179576	5078.95	19431.2	53.8005	412.402	412402	288.803	4673.09	4361.55	52338.7	0.0640942	3
197048	58853.7	10930.4	340.149	140.458	140458	261.771	6101.85	5695.06	68340.8	0.046324	3
194297	53603.9	11380.5	323.818	146.784	146784	266.32	6060.36	5656.34	67876	0.0467684	3
192412	514018	1894.86	783.431	65.5887	65588.7	154.448	7248.01	6764.81	81177.7	0.0358873	3
186687	338421	3059.46	648.875	72.6144	72614.4	167.171	6932.8	6470.61	77647.3	0.0384151	3
205000	74691.9	9777.61	382.426	126.398	126398	249.383	6202.73	5789.21	69470.6	0.0452636	3
214102	97845	8489.83	431.321	113.324	113324	234.564	6311.54	5890.77	70689.2	0.0441513	3
186625	24435.6	14604.6	193.787	218.211	218211	291.198	5677.45	5298.95	63587.4	0.0510901	3
182007	5324.6	19127.7	55.5711	403.203	403203	289.738	4737.52	4421.69	53060.3	0.0632041	3
186250	34821.7	13336.2	250.307	182.892	182892	283.454	5852.86	5462.67	65552.1	0.0490611	3
212415	633100	1505.72	889.454	63.5211	63521.1	151.227	7421.76	6926.98	83123.8	0.0345967	3
201931	68349.2	10206.3	366.578	131.314	131314	254.101	6165.9	5754.84	69058	0.0456476	3
188267	476488	2064.21	751.86	66.5507	66550.7	156.084	7187.57	6708.4	80500.8	0.036353	3
224242	686771	1377.51	938.796	62.9014	62901.4	150.398	7493.88	6994.29	83931.4	0.0340816	3
174372	4624.76	20080.2	50.5054	429.672	429672	286.774	4539.83	4237.17	50846.1	0.0659499	3
205252	596255	1607.73	855.974	64.0392	64039.2	151.981	7370.41	6879.04	82548.5	0.0349709	3
197770	265507	3986.05	602.41	78.6307	78630.7	178.538	6775.39	6323.7	75884.4	0.0397714	3
210073	621497	1536.45	878.866	63.675	63675	151.446	7405.78	6912.06	82944.7	0.0347125	3
215208	646466	1471.76	901.692	63.3533	63353.3	150.994	7439.99	6943.99	83327.9	0.0344655	3
200451	568784	1693.24	831.339	64.4879	64487.9	152.668	7330.85	6842.13	82105.5	0.0352632	3
216157	105054	8155.98	444.299	110.265	110265	230.589	6339.88	5917.22	71006.7	0.0438669	3
228464	704338	1339.76	955.028	62.7266	62726.6	150.183	7516.96	7015.83	84189.9	0.0339193	3
204036	72653.8	9911.07	377.472	127.893	127893	250.864	6191.32	5778.57	69342.8	0.0453821	3
215108	190030	5438.89	548.463	88.6457	88645.7	196.899	6594.32	6154.7	73856.4	0.0414121	3
197011	547098	1767.57	812.151	64.8873	64887.3	153.3	7298.73	6812.15	81745.8	0.0355032	3
226654	696893	1355.53	948.146	62.7992	62799.2	150.271	7507.2	7006.72	84080.7	0.0339878	3
214475	643002	1480.41	898.517	63.3958	63395.8	151.052	7435.28	6939.6	83275.2	0.0344993	3
200826	251564	4210.58	593.475	80.1305	80130.5	181.355	6743.46	6293.89	75526.7	0.0400544	3
166390	4059.21	21085.9	46.3218	450.843	450843	283.644	4346.04	4056.3	48675.6	0.068673	3
209030	616199	1550.88	874.045	63.748	63748	151.552	7398.43	6905.2	82862.4	0.034766	3
184662	5626.18	18793.8	57.7405	392.202	392202	290.744	4809.82	4489.16	53870	0.0622119	3
185765	32112.8	13661.2	236.964	190.806	190806	285.752	5811.92	5424.46	65093.5	0.0495273	3
195983	540191	1792.67	806.095	65.024	65024	153.52	7288.32	6802.44	81629.2	0.0355816	3
191695	48508.7	11855.8	306.509	154.123	154123	270.915	6014.59	5613.62	67363.5	0.0472639	3
198121	554326	1742.06	818.518	64.7493	64749.3	153.079	7309.53	6822.23	81866.8	0.0354222	3
227703	701222	1346.32	952.148	62.7567	62756.7	150.219	7512.88	7012.02	84144.2	0.0339479	3
202720	243359	4351.06	588.098	81.0771	81077.1	183.124	6724.38	6276.09	75313.1	0.0402248	3
204796	593760	1615.14	853.724	64.0776	64077.6	152.039	7366.86	6875.74	82508.8	0.0349969	3
198238	61129.1	10747	346.818	138.029	138029	259.866	6118.36	5710.47	68525.6	0.0461486	3
217288	109755	7951.46	452.29	108.447	108447	228.131	6357.38	5933.55	71202.7	0.0436924	3
217480	177331	5750.62	537.057	90.903	90903	200.843	6561.36	6123.93	73487.2	0.0417202	3
168581	4202.07	20807.9	47.3908	445.591	445591	284.502	4398.05	4104.85	49258.2	0.0679401	3
187958	40217.8	12717.4	274.466	169.583	169583	278.585	5924.76	5529.77	66357.3	0.0482534	3
192538	515008	1890.77	784.281	65.5659	65565.9	154.41	7249.56	6766.26	81195.1	0.0358755	3
184761	5638.26	18781.3	57.8274	391.77	391770	290.781	4812.56	4491.73	53900.7	0.0621743	3
202850	242804	4360.81	587.729	81.143	81143	183.247	6723.08	6274.87	75298.5	0.0402365	3
192647	515863	1887.26	785.014	65.5463	65546.3	154.377	7250.9	6767.5	81210.1	0.0358653	3
205837	599427	1598.42	858.839	63.9911	63991.1	151.909	7374.9	6883.24	82598.9	0.0349379	3
211658	629391	1515.41	886.066	63.5694	63569.4	151.295	7416.67	6922.23	83066.7	0.0346336	3
206131	229041	4612.07	578.394	82.8535	82853.5	186.421	6690.55	6244.51	74934.1	0.0405293	3
190755	500293	1953.39	771.748	65.9178	65917.8	155	7226.28	6744.53	80934.4	0.0360537	3
206042	76951.2	9634.11	387.775	124.823	124823	247.777	6214.94	5800.61	69607.3	0.0451372	3
181918	5315.2	19138.8	55.5034	403.551	403551	289.705	4735.15	4419.48	53033.7	0.0632368	3
205361	596851	1605.98	856.512	64.0301	64030.1	151.967	7371.25	6879.83	82558	0.0349647	3
244287	764632	1222.48	1010.81	62.2093	62209.3	149.611	7594.88	7088.55	85062.6	0.0333799	3
191353	17820.5	15381.6	149.336	246.498	246498	294.052	5545.76	5176.04	62112.5	0.0526665	3
202965	583511	1646.29	844.505	64.24	64240	152.285	7352.2	6862.06	82344.7	0.0351049	3
190326	307183	3410.43	628.66	74.8597	74859.7	171.411	6867.32	6409.5	76914	0.0389714	3
193989	53011.1	11433.8	321.883	147.571	147571	266.846	6055.34	5651.65	67819.8	0.0468225	3
202918	583244	1647.12	844.265	64.2444	64244.4	152.292	7351.82	6861.7	82340.4	0.0351078	3
211877	91224.5	8821.03	418.556	116.479	116479	238.458	6283.59	5864.68	70376.2	0.0444339	3
212811	200752	5193.16	557.359	86.8963	86896.3	193.784	6621.45	6180.02	74160.2	0.0411608	3
196673	544856	1775.64	810.182	64.9311	64931.1	153.37	7295.36	6809.01	81708.1	0.0355286	3
206644	603755	1585.88	862.753	63.9265	63926.5	151.813	7381.01	6888.94	82667.3	0.0348931	3
189199	485992	2018.46	759.739	66.288	66288	155.631	7203.19	6722.98	80675.7	0.0362318	3
218045	659568	1439.84	913.726	63.1979	63197.9	150.783	7457.67	6960.49	83525.9	0.0343388	3
198319	61284.8	10734.6	347.267	137.869	137869	259.737	6119.46	5711.49	68537.9	0.046137	3
200423	65361.4	10422.7	358.643	133.928	133928	256.435	6147.04	5737.23	68846.8	0.0458456	3
196512	57832.8	11015	337.081	141.605	141605	262.639	6094.18	5687.9	68254.8	0.0464059	3
197990	553482	1745	817.773	64.7652	64765.2	153.104	7308.28	6821.06	81852.7	0.0354316	3
174889	4666.23	20015.7	50.808	428.093	428093	286.976	4552.79	4249.27	50991.3	0.0657686	3
