"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
188865	43242.2	12377.3	286.459	176.234	176234	285.465	6173.31	5761.76	69141.1	0.0486612	0.1
214857	645887	1471.06	900.752	67.5879	67587.9	166.968	8227.76	7679.25	92151	0.036795	0.1
181841	5302.08	19158	55.4191	374.102	374102	288.637	4714.55	4400.25	52803	0.0607188	0.1
176418	4789.78	19833.7	51.7159	390.272	390272	286.618	4574.87	4269.88	51238.5	0.0620449	0.1
197292	60165.7	10810.9	343.572	149.587	149587	273.529	6417.56	5989.72	71876.7	0.0469599	0.1
180504	5165.21	19324.9	54.4327	378.276	378276	288.141	4679.42	4367.46	52409.5	0.0610497	0.1
197348	60274.3	10802.1	343.888	149.459	149459	273.453	6418.83	5990.91	71891	0.0469513	0.1
203673	237526	4449.36	583.654	87.0988	87098.8	202.074	7356.07	6865.67	82388	0.0411905	0.1
204406	592893	1615.33	852.512	68.4231	68423.1	168.374	8158.17	7614.29	91371.5	0.0371158	0.1
208347	613879	1555.01	871.514	68.0716	68071.6	167.778	8186.6	7640.83	91689.9	0.0369842	0.1
167273	4113.69	20981.3	46.7375	413.49	413490	283.188	4353.51	4063.28	48759.4	0.0642035	0.1
195306	275734	3827.08	608.323	82.7121	82712.1	194.267	7481.34	6982.59	83791	0.0405058	0.1
202514	70494.8	10044.6	371.594	139.079	139079	266.514	6527.11	6091.97	73103.7	0.0462248	0.1
201038	573693	1674.79	835.279	68.7726	68772.6	168.972	8131.02	7588.95	91067.4	0.0372423	0.1
185011	435628	2283.84	718.523	72.4939	72493.9	175.576	7893.22	7367.01	88404.1	0.038383	0.1
202708	70895.3	10017.2	372.603	138.728	138728	266.251	6530.94	6095.55	73146.6	0.0461994	0.1
198514	558320	1725.71	821.605	69.0741	69074.1	169.492	8108.42	7567.86	90814.3	0.0373481	0.1
186759	23787.3	14676.6	189.642	233.488	233488	295.043	5734.38	5352.08	64225	0.0519425	0.1
208690	84254.4	9188.27	403.613	128.765	128765	257.955	6645.34	6202.32	74427.9	0.0454505	0.1
180211	5136.18	19361.5	54.2232	379.176	379176	288.032	4671.77	4360.32	52323.8	0.061122	0.1
182102	5329.72	19125.4	55.6181	373.273	373273	288.733	4721.46	4406.7	52880.4	0.060654	0.1
194410	54622.4	11276.9	326.677	156.702	156702	277.448	6348.27	5925.05	71100.6	0.0474337	0.1
219556	667384	1419.38	920.517	67.2935	67293.5	166.481	8254.09	7703.82	92445.9	0.0366749	0.1
207208	80711.7	9393.57	395.855	131.119	131119	260.069	6617.26	6176.11	74113.3	0.0456327	0.1
200527	66482.6	10327.8	361.182	142.806	142806	269.184	6487.15	6054.67	72656.1	0.046491	0.1
