"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.00756652	4378.2	20482.5	48.6836	539.229	539229	286.904	4482.16	4183.35	50200.2	0.109957	0.00756652	16703.1	171056	3
0.072945	15513.4	15612.2	132.054	508.906	508906	308.211	5757.28	5373.46	64481.5	0.0823185	0.072945	18876.1	193310	3
0.0392878	366313	2721.23	658.459	536.478	536478	486.546	20884.2	19491.9	233903	0.10434	0.0392878	17520.1	179423	3
0.147558	87119.6	9139.33	414.977	63.3962	63396.2	102.468	2647.63	2471.12	29653.5	0.0344995	0.147558	21003.8	215100	3
0.233173	690598	1370.41	942.591	60.0002	60000.2	139.985	6980.92	6515.53	78186.3	0.0182382	0.233173	21999.7	225299	3
0.16901	661609	1436.4	915.879	60.1878	60187.8	139.951	6924.76	6463.11	77557.4	0.0279879	0.16901	21350.7	218652	3
0.0697779	547415	1709.31	802.802	514.587	514587	521.787	25009.1	23341.8	280102	0.0848946	0.0697779	18750.5	192023	3
0.0561402	295882	3475.98	612.831	529.369	529369	463.683	18459.7	17229	206748	0.0951166	0.0561402	18193.7	186321	3
0.036717	4981.14	19553.5	53.0752	537.032	537032	290.34	4678.41	4366.51	52398.1	0.105331	0.036717	17425.1	178450	3
0.0865635	67907.6	10153.5	362.166	465.895	465895	348.267	8476.3	7911.22	94934.6	0.0710495	0.0865635	19388.4	198555	3
0.078972	248179	4188.96	583.312	494.329	494329	444.197	16549.1	15445.8	185350	0.077331	0.078972	19108.9	195693	3
0.185194	671182	1414.03	924.696	60.0248	60024.8	139.611	6926.27	6464.52	77574.2	0.0244666	0.185194	21560.4	220800	3
0.0285376	4731.52	19909.7	51.2676	538.255	538255	288.995	4601.09	4294.35	51532.2	0.107751	0.0285376	17147.8	175610	3
0.0801273	62721.9	10539	348.344	490.833	490833	344.911	8214.48	7666.85	92002.2	0.0763703	0.0801273	19152.5	196140	3
0.143375	202042	5187.65	560.448	65.9726	65972.6	127.694	4365.18	4074.16	48890	0.0360807	0.143375	20925.3	214295	3
0.106556	83182.3	9181.53	398.166	301.205	301205	350.41	9030.84	8428.78	101145	0.0557991	0.106556	20039.8	205227	3
0.069698	265114	3913.62	593.911	514.716	514716	451.579	17251.7	16101.6	193219	0.084959	0.069698	18747.3	191991	3
0.138046	84120.7	9294.84	407.948	72.067	72067	124.452	3185.46	2973.09	35677.1	0.0382675	0.138046	20819.4	213211	3
0.0825165	64660.6	10391.2	353.628	482.733	482733	346.213	8313.83	7759.58	93114.9	0.0743863	0.0825165	19241.4	197051	3
