"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.0428179	342556	2942.73	642.458	531.143	531143	479.466	20119	18777.8	225333	0.0969734	0.0428179	17655.2	180807	0.11
0.0889706	69837.1	10017.7	367.06	464.726	464726	349.626	8575.82	8004.1	96049.2	0.0708478	0.0889706	19473.4	199427	0.11
0.152477	107912	8015.01	448.313	121.781	121781	255.772	7097.75	6624.56	79494.8	0.0448876	0.152477	21091.3	215996	0.11
0.0369768	4989.99	19541.6	53.1394	533.59	533590	290.353	4680.5	4368.47	52421.6	0.0999489	0.0369768	17434.6	178547	0.11
0.119712	192609	5302.12	544.079	309.844	309844	409.801	13877.9	12952.7	155433	0.0563218	0.119712	20400	208915	0.11
0.189889	110810	7972.73	457.88	65.5639	65563.9	112.336	3126.08	2917.68	35012.1	0.0358745	0.189889	21614.4	221352	0.11
0.0573033	509591	1852.95	769.995	521.561	521561	516.481	24352.6	22729.1	272750	0.0888683	0.0573033	18241.7	186813	0.11
0.021363	4564.53	20169.7	50.0509	537.594	537594	288.024	4546.12	4243.04	50916.5	0.106402	0.021363	16945.6	173540	0.11
0.13564	177037	5691.99	531.38	203.83	203830	374.959	12306.3	11485.9	137831	0.0502779	0.13564	20769.4	212699	0.11
0.0998126	78408.3	9459.56	387.447	423.866	423866	354.568	8986.17	8387.09	100645	0.0652956	0.0998126	19834.2	203122	0.11
0.106347	83550.3	9155.86	398.739	391.732	391732	356.872	9211.77	8597.65	103172	0.0621711	0.106347	20033.6	205163	0.11
0.0148036	4453.85	20352.5	49.2401	538.481	538481	287.365	4508.5	4207.93	50495.2	0.108239	0.0148036	16803.8	172087	0.11
0.107652	84577.4	9097.69	400.921	384.626	384626	357.243	9254.16	8637.21	103647	0.0615679	0.107652	20071.8	205555	0.11
0.12548	98486.5	8382.61	428.46	270.612	270612	355.601	9634.32	8992.03	107904	0.05402	0.12548	20541.7	210367	0.11
0.021879	4574.93	20153	50.1269	537.508	537508	288.085	4549.6	4246.29	50955.5	0.106232	0.021879	16958.6	173673	0.11
0.0362772	4965.94	19574.2	52.9657	533.842	533842	290.23	4673.33	4361.77	52341.3	0.100289	0.0362772	17409.2	178287	0.11
0.126193	185598	5471.17	538.378	265.744	265744	399.644	13349.7	12459.7	149516	0.0537445	0.126193	20558.6	210540	0.11
0.225422	688261	1375.3	940.388	60.5211	60521.1	141.784	7066.52	6595.42	79145.1	0.03004	0.225422	21943.1	224719	0.11
0.0637626	48605.8	11769.4	304.665	515	515000	334.261	7453.91	6956.99	83483.8	0.0851015	0.0637626	18507.2	189531	0.11
0.0450032	5301.37	19147.1	55.3819	530.051	530051	291.87	4769.16	4451.21	53414.6	0.0958054	0.0450032	17741.1	181686	0.11
0.108983	85625.2	9039.17	403.122	377.151	377151	357.583	9296.26	8676.51	104118	0.0609598	0.108983	20110.2	205948	0.11
0.156984	664649	1405.98	914.119	107.514	107514	321.644	15972.4	14907.6	178891	0.0436012	0.156984	21167.1	216772	0.11
0.0131689	4432.49	20388.8	49.0832	538.645	538645	287.236	4501.11	4201.04	50412.4	0.108601	0.0131689	16775.7	171799	0.11
0.107074	207641	4964.81	555.693	387.803	387803	422.826	14724.9	13743.2	164919	0.0618343	0.107074	20054.9	205382	0.11
0.0630957	47972.5	11831.7	302.444	515.761	515761	333.756	7418.89	6924.3	83091.6	0.0854913	0.0630957	18479.9	189252	0.11
0.0298204	4766.37	19857.8	51.5209	535.814	535814	289.168	4611.85	4304.4	51652.7	0.103222	0.0298204	17188.3	176025	0.11
0.120423	94610.6	8568.97	421.112	305.06	305060	357.986	9584.11	8945.17	107342	0.0560309	0.120423	20418	209100	0.11
0.0734292	57163.8	10989.5	332.336	501.291	501291	340.854	7919.94	7391.94	88703.3	0.0794833	0.0734292	18895.1	193504	0.11
0.0662441	50898.6	11549.4	312.491	511.977	511977	336.071	7580.18	7074.84	84898.1	0.0836516	0.0662441	18608.2	190566	0.11
0.0987906	77603.6	9509.08	385.621	428.366	428366	354.154	8949.21	8352.59	100231	0.0657998	0.0987906	19801.8	202790	0.11
0.108628	85345.6	9054.7	402.537	379.168	379168	357.496	9285.15	8666.14	103994	0.0611213	0.108628	20100	205843	0.11
0.052369	5649.72	18760.5	57.8834	525.507	525507	293.394	4859.37	4535.41	54425	0.0917074	0.052369	18038.7	184733	0.11
0.156055	107105	8064.56	447.772	110.208	110208	231.214	6395.32	5968.97	71627.6	0.0438614	0.156055	21151.8	216615	0.11
0.029799	4765.78	19858.6	51.5165	535.819	535819	289.165	4611.66	4304.22	51650.6	0.103231	0.029799	17187.6	176018	0.11
0.0993268	78025.9	9483.02	386.581	426.022	426022	354.373	8968.65	8370.74	100449	0.0655347	0.0993268	19818.9	202964	0.11
0.103518	81324.1	9284.72	393.928	406.359	406359	355.957	9116.57	8508.8	102106	0.0635027	0.103518	19949	204296	0.11
0.0303726	4781.88	19834.9	51.6334	535.668	535668	289.253	4616.75	4308.97	51707.6	0.102987	0.0303726	17206.2	176208	0.11
7.34757e-05	4351.41	20529.6	48.4861	539.247	539247	286.736	4472.67	4174.49	50093.9	0.11	7.34757e-05	16666.7	170683	0.11
0.181015	107552	8107.81	452.107	70.1356	70135.6	124.165	3424.61	3196.3	38355.6	0.0376992	0.181015	21510	220283	0.11
0.0853684	66958.3	10221.7	359.706	475.216	475216	347.759	8431.2	7869.12	94429.4	0.0727864	0.0853684	19345.5	198116	0.11
0.0491075	5487.47	18934	56.7187	527.697	527697	292.705	4818.48	4497.25	53967	0.0935481	0.0491075	17905.7	183371	0.11
0.0308945	4796.8	19813	51.7417	535.527	535527	289.334	4621.45	4313.35	51760.2	0.102762	0.0308945	17223.2	176382	0.11
0.0470711	5392.72	19040.5	56.0383	528.918	528918	292.286	4793.7	4474.12	53689.4	0.0946774	0.0470711	17823.5	182530	0.11
0.139768	658883	1401.27	905.277	179.632	179632	466.249	23166.2	21621.8	259462	0.0488662	0.139768	20854.4	213569	0.11
