"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.110496	204124	5043.27	553.261	297.458	297458	413.545	14307.3	13353.5	160242	0.0555756	0.110496	20153.2	206388	0.1
0.0743225	15068.8	15665.3	128.728	484.411	484411	307.587	5733.05	5350.85	64210.2	0.0747729	0.0743225	18930.1	193862	0.1
0.0197356	4533.33	20220.4	49.8228	537.537	537537	287.838	4535.58	4233.21	50798.5	0.106289	0.0197356	16906.3	173137	0.1
0.148202	95966.6	8614.64	429.523	92.8447	92844.7	184.396	4922.42	4594.26	55131.1	0.0419724	0.148202	21015.6	215220	0.1
0.0690548	53390.5	11319.8	320.644	496.73	496730	337.839	7712.5	7198.34	86380	0.0780343	0.0690548	18721.6	191727	0.1
0.0543571	24727.2	14523.5	194.933	519.238	519238	314.658	6156.64	5746.19	68954.3	0.0874202	0.0543571	18120.3	185569	0.1
0.112334	202063	5089.17	551.736	283.68	283680	410.531	14148.8	13205.6	158467	0.0547685	0.112334	20204.5	206913	0.1
0.10369	81222.4	9292.87	393.804	346.694	346694	353.025	9037.04	8434.57	101215	0.0587072	0.10369	19954.2	204350	0.1
0.0614473	19998.7	15095.6	164.293	510.201	510201	311.141	5939.27	5543.32	66519.8	0.0828653	0.0614473	18412.3	188560	0.1
0.171517	100556	8437.14	440.412	66.0437	66043.7	111.765	3017.47	2816.3	33795.6	0.0361153	0.171517	21385.8	219011	0.1
0.0636062	529773	1773.37	787.382	506.827	506827	519.187	24702.6	23055.8	276669	0.0814839	0.0636062	18500.8	189466	0.1
0.126077	95715.7	8535.92	424.318	185.756	185756	324.805	8714.05	8133.11	97597.4	0.0492308	0.126077	20555.9	210512	0.1
0.074899	58382.3	10887.4	335.973	482.888	482888	341.501	7978.97	7447.04	89364.5	0.0744215	0.074899	18952.5	194092	0.1
0.100544	216296	4784.72	562.064	367.783	367783	425.659	15051.4	14048	168576	0.0602316	0.100544	19857.2	203357	0.1
0.0031403	4356.02	20521.5	48.5201	539.207	539207	286.765	4474.3	4176.01	50112.2	0.109902	0.0031403	16673	170747	0.1
0.152756	95952.9	8631.3	430.33	83.8924	83892.4	159.978	4266.09	3981.68	47780.2	0.0406992	0.152756	21096.1	216045	0.1
0.00556257	4365.89	20504.1	48.5929	539.12	539120	286.826	4477.79	4179.27	50151.2	0.109695	0.00556257	16686.4	170885	0.1
0.0783797	61264.1	10653.6	344.287	472.867	472867	343.51	8129.36	7587.4	91048.8	0.0723254	0.0783797	19086.4	195463	0.1
0.0953485	223251	4645.39	566.91	399.434	399434	430.458	15404.4	14377.4	172529	0.062856	0.0953485	19690.2	201647	0.1
0.0504168	5550.79	18865.1	57.1737	523.133	523133	292.939	4834	4511.74	54140.8	0.0899357	0.0504168	17958.9	183916	0.1
0.149143	95922.2	8620.48	429.629	90.7792	90779.2	178.852	4772.68	4454.5	53454	0.0417038	0.149143	21032.6	215394	0.1
0.030269	4778.92	19839.3	51.612	534.828	534828	289.228	4615.68	4307.97	51695.6	0.101691	0.030269	17202.8	176173	0.1
0.0102593	4400.64	20443.5	48.8489	538.808	538808	287.04	4490	4190.66	50288	0.108969	0.0102593	16733.3	171365	0.1
0.0807699	63214.8	10501.4	349.716	465.11	465110	344.818	8229.47	7680.84	92170.1	0.0709137	0.0807699	19176.5	196386	0.1
0.146573	96089.6	8601.87	429.408	96.717	96717	194.581	5198.51	4851.94	58223.3	0.042445	0.146573	20985.7	214914	0.1
0.0590747	6028.9	18395.7	60.6074	513.553	513553	294.794	4946.44	4616.67	55400.1	0.0843887	0.0590747	18314.7	187560	0.1
0.0183352	4508.46	20261.2	49.6407	537.785	537785	287.691	4527.16	4225.35	50704.2	0.10678	0.0183352	16874.6	172812	0.1
0.045328	5315.27	19130.7	55.4821	527.218	527218	291.907	4772.47	4454.31	53451.7	0.0931261	0.045328	17753.9	181817	0.1
0.205337	118186	7674.03	469.861	60.5062	60506.2	100.36	2849.27	2659.32	31911.8	0.0299788	0.205337	21773	222977	0.1
0.000271727	4351.44	20529.5	48.4863	539.247	539247	286.736	4472.68	4174.5	50094	0.109999	0.000271727	16666.7	170683	0.1
0.0747801	58282.9	10895.7	335.679	483.205	483205	341.431	7973.73	7442.15	89305.8	0.0744938	0.0747801	18947.9	194045	0.1
0.048966	5480.54	18941.7	56.6693	524.398	524398	292.64	4816.09	4495.02	53940.2	0.0908537	0.048966	17899.9	183313	0.1
0.0832994	65258.9	10346.9	355.246	456.056	456056	346.138	8332.74	7777.23	93326.7	0.0694457	0.0832994	19270.2	197346	0.1
0.0982062	219375	4722.34	564.226	382.544	382544	427.893	15211.5	14197.4	170368	0.0613959	0.0982062	19783.1	202598	0.1
0.0446983	5288.18	19162.9	55.2874	527.659	527659	291.783	4765.12	4447.45	53369.4	0.0935142	0.0446983	17729	181562	0.1
0.0442369	5268.61	19186.4	55.1466	527.974	527974	291.692	4759.77	4442.45	53309.4	0.0937973	0.0442369	17710.8	181376	0.1
0.0951158	74608.1	9699.51	378.713	400.751	400751	351.218	8775.68	8190.64	98287.6	0.0629766	0.0951158	19682.5	201568	0.1
0.14262	652665	1434.19	903.072	107.805	107805	321.928	15933.1	14870.9	178451	0.0436298	0.14262	20910.7	214146	0.1
0.0409947	5137.46	19348.6	54.2028	530.004	530004	291.071	4723.14	4408.26	52899.1	0.0957562	0.0409947	17584.9	180086	0.1
0.0347007	4913.46	19646.6	52.5866	533.141	533141	289.945	4657.29	4346.81	52161.7	0.0993602	0.0347007	17352.9	177711	0.1
0.140504	96866.7	8535.77	429.413	114.823	114823	237.351	6367.86	5943.33	71320	0.0442869	0.140504	20869.1	213720	0.1
0.072231	260271	3989.81	590.92	489.637	489637	449.131	17038.3	15902.5	190829	0.0760575	0.072231	18848	193021	0.1
