"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.149143	94275.1	8713.55	427.022	85.4585	85458.5	163.849	4346.72	4056.94	48683.3	0.0409449	0.149143	21032.6	215394	0.09
0.030269	4778.92	19839.3	51.612	534.766	534766	289.228	4615.67	4307.96	51695.5	0.101598	0.030269	17202.8	176173	0.09
0.0102593	4400.64	20443.5	48.8489	538.803	538803	287.04	4490	4190.66	50288	0.108957	0.0102593	16733.3	171365	0.09
0.0807699	63211.1	10501.7	349.708	462.542	462542	344.764	8228.02	7679.49	92153.9	0.0704794	0.0807699	19176.5	196386	0.09
0.146573	94297.8	8702.86	426.576	90.709	90709	178.168	4729.78	4414.46	52973.5	0.0416944	0.146573	20985.7	214914	0.09
0.0590747	6028.85	18395.8	60.6071	512.954	512954	294.787	4946.3	4616.55	55398.6	0.0841041	0.0590747	18314.7	187560	0.09
0.0183352	4508.46	20261.2	49.6407	537.767	537767	287.69	4527.16	4225.35	50704.2	0.106744	0.0183352	16874.6	172812	0.09
0.045328	5315.26	19130.8	55.482	527.001	527001	291.904	4772.43	4454.27	53451.2	0.0929387	0.045328	17753.9	181817	0.09
0.205337	118074	7678.79	469.705	60.3292	60329.2	99.8955	2835.17	2646.16	31753.9	0.0290897	0.205337	21773	222977	0.09
0.000271727	4351.44	20529.5	48.4863	539.247	539247	286.736	4472.68	4174.5	50094	0.109999	0.000271727	16666.7	170683	0.09
0.0747801	58280.8	10895.9	335.674	481.454	481454	341.399	7972.91	7441.38	89296.6	0.0740993	0.0747801	18947.9	194045	0.09
0.048966	5480.53	18941.8	56.6693	524.111	524111	292.637	4816.04	4494.97	53939.6	0.090641	0.048966	17899.9	183313	0.09
0.0832994	65254.2	10347.3	355.235	453.056	453056	346.069	8330.89	7775.5	93306	0.0689951	0.0832994	19270.2	197346	0.09
0.0982062	219411	4721.73	564.263	375.842	375842	427.54	15199.7	14186.4	170237	0.0608558	0.0982062	19783.1	202598	0.09
0.0446983	5288.17	19163	55.2873	527.452	527452	291.78	4765.08	4447.41	53368.9	0.093331	0.0446983	17729	181562	0.09
0.0442369	5268.6	19186.4	55.1466	527.775	527775	291.69	4759.73	4442.42	53309	0.0936173	0.0442369	17710.8	181376	0.09
0.0951158	74591.4	9700.77	378.681	394.962	394962	350.99	8769.32	8184.7	98216.4	0.0624541	0.0951158	19682.5	201568	0.09
0.14262	651087	1441.2	902.237	100.669	100669	297.104	14692.3	13712.8	164553	0.0428924	0.14262	20910.7	214146	0.09
0.0409947	5137.45	19348.6	54.2028	529.849	529849	291.069	4723.11	4408.24	52898.8	0.0955979	0.0409947	17584.9	180086	0.09
0.0347007	4913.46	19646.6	52.5866	533.049	533049	289.944	4657.28	4346.79	52161.5	0.099242	0.0347007	17352.9	177711	0.09
0.140504	94930.4	8643.52	426.374	107.063	107063	219.511	5849.13	5459.18	65510.2	0.0435568	0.140504	20869.1	213720	0.09
